SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531737,GREENCREST  ,X ,Q,32.95,32.95,32.95,32.95,32.95,32.95,1,1,32.00,
531739,GENNEX LAB  ,X ,Q,3.80,4.10,3.61,3.74,3.74,3.78,143,140304,537424.00,
531744,GINI SILK MI,X ,Q,164.00,164.00,155.80,155.80,155.80,164.00,3,45,7052.00,
531746,PRAJAY ENGS.,B ,Q,11.89,11.89,10.84,10.84,10.84,11.41,49,93186,1017878.00,
531761,APOLLOPIPES ,X ,Q,511.75,539.50,510.05,527.60,527.60,514.50,475,55871,29346751.00,
531762,UNJHA FORMUL,X ,Q,12.75,12.75,11.81,11.84,12.69,12.18,7,2665,31867.00,
531768,POLY MEDICUR,B ,Q,250.05,253.00,248.40,250.00,250.00,251.30,25,1589,397103.00,
531769,PFL INFOTECH,X ,Q,8.51,8.51,7.71,8.50,8.50,8.11,5,384,3066.00,
531784,KCLINFRA    ,ST,Q,1.23,1.23,1.23,1.23,1.23,1.18,5,2000,2460.00,
531795,ATUL AUTO   ,B ,Q,444.00,452.95,432.35,438.20,438.20,439.50,212,3101,1361020.00,
531802,PRERNA INFR ,X ,Q,17.10,17.45,15.75,16.00,16.00,17.50,19,12121,200878.00,
531810,METAL COATIN,XT,Q,28.25,28.25,28.25,28.25,28.25,29.70,1,60,1695.00,
531814,TIRUPATI SAR,X ,Q,18.50,18.50,16.20,16.95,17.00,18.00,73,20271,345504.00,
531816,PANORAM UNI ,B ,Q,8.85,8.85,8.30,8.32,8.32,8.45,25,9637,81758.00,
531822,RODIUM      ,X ,Q,134.30,155.50,130.00,137.90,137.90,134.20,55,6623,898158.00,
531831,UNISYS SOFT.,X ,Q,22.05,22.05,22.05,22.05,22.05,22.45,1,25,551.00,
531842,LAHOTI OVER.,X ,Q,18.50,21.70,18.50,19.70,20.25,19.70,24,9614,191123.00,
531845,ZENITH BIRLA,T ,Q,1.91,1.91,1.91,1.91,1.91,2.01,10,4068,7769.00,
531847,ASIAN STAR  ,B ,Q,1117.00,1117.00,1117.00,1117.00,1117.00,1175.50,1,1,1117.00,
531855,PRABHAV IND ,XT,Q,1.19,1.19,1.19,1.19,1.19,1.17,1,200,238.00,
531859,ORIENTAL VEN,X ,Q,471.05,489.90,452.05,459.20,459.20,492.60,45,930,432847.00,
531861,JOINDRE CAPI,X ,Q,27.00,27.00,25.10,25.60,26.65,25.70,60,6629,170947.00,
531862,BHARATAGRI  ,X ,Q,141.30,141.30,132.00,135.80,139.00,135.40,45,13471,1822483.00,
531867,UNITECH INTE,SS,Q,5.60,5.78,4.83,5.40,5.40,5.95,17,4591,24688.00,
531869,SACHETA MET.,SS,Q,40.00,41.90,38.00,41.90,41.90,39.95,17,6601,258323.00,
531879,PIONEER DIS.,B ,Q,178.00,180.05,160.00,163.90,160.00,189.25,52,2944,485231.00,
531881,GMETCOAL    ,XT,Q,25.10,25.10,24.25,25.10,25.10,24.65,13,1140,28454.00,
531882,KWALITYLTD  ,A ,Q,82.50,83.60,81.75,82.15,82.15,82.00,904,481084,39537043.00,
531888,REXNORD ELE.,X ,Q,59.55,62.85,58.00,59.90,59.90,61.65,62,20929,1251165.00,
531892,KHANDWALA SE,B ,Q,17.05,17.05,17.05,17.05,17.05,17.90,3,1400,23870.00,
531893,SAWACA BUSI ,ST,Q,1.55,1.55,1.55,1.55,1.55,1.55,1,2000,3100.00,
531917,TWINSTAR SOF,X ,Q,2.15,2.15,2.10,2.15,2.15,2.05,5,2380,5002.00,
531919,MUDIT FINLEA,X ,Q,64.75,64.75,61.55,61.55,61.55,64.75,2,11,680.00,
531921,AGAR IND COR,T ,Q,350.10,350.10,342.50,343.00,343.00,360.50,16,2539,876731.00,
531923,DHAMPURE SGR,X ,Q,13.00,13.00,12.00,12.75,13.00,13.15,37,5646,71110.00,
531925,SHANTANU SHE,ST,Q,4.11,4.11,4.11,4.11,4.11,4.11,1,1500,6165.00,
531934,SUPREME TEX ,T ,Q,1.48,1.50,1.41,1.41,1.41,1.48,26,7247,10685.00,
531950,VERTEX SEC. ,X ,Q,2.55,2.55,2.37,2.40,2.40,2.36,14,7881,19315.00,
531952,RIBA TEXTILS,X ,Q,93.40,99.95,91.00,92.90,92.90,92.00,177,33284,3129526.00,
531962,SHREMETAL   ,XT,Q,5.81,5.81,5.81,5.81,5.81,6.10,1,2169,12601.00,
531977,CHARTERLOGIS,X ,Q,15.10,15.50,13.75,14.35,14.35,15.00,600,465706,6650308.00,
531978,AMBIKA COTTO,B ,Q,1299.95,1300.00,1268.55,1281.15,1285.00,1273.25,76,1435,1838051.00,
531979,HIND ALUMIN ,X ,Q,95.00,99.00,92.00,93.40,93.40,95.55,102,4769,448752.00,
531996,ODYSSEY CORP,ST,Q,1.52,1.52,1.52,1.52,1.52,1.52,1,1000,1520.00,
532007,SHREEVAT.FIN,ST,Q,4.53,4.53,4.53,4.53,4.53,4.32,14,100714,456234.00,
532015,GRAVITY (I) ,XT,Q,3.00,3.00,3.00,3.00,3.00,3.15,1,294,882.00,
532021,SENBO IND.  ,XT,Q,6.10,6.10,6.10,6.10,6.10,6.10,14,1389,8472.00,
532022,FILAT FASH  ,X ,Q,2.45,2.45,2.40,2.40,2.40,2.60,15,22150,53170.00,
532033,JAIN STUDIOS,T ,Q,3.37,3.37,3.05,3.37,3.37,3.21,10,1428,4717.00,
532035,UNISTAR MULT,X ,Q,2.80,2.80,2.80,2.80,2.80,2.85,2,89400,250320.00,
532038,EMMSONS INT.,Z ,Q,3.38,3.38,3.38,3.38,3.38,3.22,1,500,1690.00,
532039,ZENOTECH    ,X ,Q,39.15,40.00,38.75,39.05,39.00,39.90,42,68675,2682181.00,
532051,SWELECT     ,B ,Q,356.70,356.70,338.15,347.90,347.80,349.60,101,5875,2024527.00,
532053,WALLFORT FIN,X ,Q,105.45,113.75,105.45,109.45,112.00,109.75,44,13458,1478927.00,
532054,KDDL LTD    ,B ,Q,380.00,387.00,377.20,387.00,387.00,374.95,22,1745,673115.00,
532056,ADINATH EXIM,XT,Q,25.85,25.90,25.85,25.90,25.90,24.70,3,210,5434.00,
532067,KILPEST (I) ,XT,Q,125.00,134.95,125.00,125.15,125.00,130.90,41,4905,621764.00,
532070,SUPERB PAPER,X ,Q,28.75,28.75,28.70,28.75,28.70,29.00,2,26250,754312.00,
532072,INTER DIGI  ,X ,Q,0.15,0.15,0.15,0.15,0.15,0.15,3,3000000,450000.00,
532078,MONNET IND. ,XT,Q,10.17,10.17,10.17,10.17,10.17,10.70,1,10,101.00,
532081,KSERASERA   ,T ,Q,0.19,0.20,0.19,0.19,0.19,0.19,54,762433,145696.00,
532097,MUKAND ENGG.,B ,Q,36.00,36.00,34.00,34.90,34.95,35.10,188,24005,831990.00,
532113,BRIJLAXMI LE,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,1,20000,3800.00,
532114,AREALTY     ,X ,Q,1.98,1.98,1.95,1.95,1.95,1.98,2,5000,9825.00,
532121,DENA BANK   ,A ,Q,18.85,18.85,18.25,18.55,18.55,18.55,599,329676,6101405.00,
532123,BSE  INFRA  ,B ,Q,3.60,3.89,3.60,3.89,3.89,3.71,34,21760,82436.00,
532124,RELIAB VEN  ,X ,Q,17.15,17.15,15.55,15.55,15.55,16.35,5,26260,409122.00,
532129,HEXAWARE TEC,A ,Q,377.00,381.90,370.10,373.40,373.40,376.30,1146,67537,25536877.00,
532134,BANKBARODA  ,A ,Q,132.60,142.30,132.60,141.30,141.30,133.10,5386,1353958,187708740.00,
532141,ANDHRA CEMEN,T ,Q,9.77,9.87,9.11,9.54,9.20,9.40,84,85425,817383.00,
532143,SKM EGG PROD,B ,Q,83.65,86.75,82.00,84.15,82.00,84.40,133,11942,1012173.00,
532144,WELCORP     ,A ,Q,130.35,133.95,127.00,129.85,129.85,130.30,888,69436,9099231.00,
