SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1283.40,1301.80,1275.00,1285.40,1285.40,1280.40,438,5787,7450376.00,
500003,AEGIS LOGIS ,A ,Q,250.75,258.00,242.55,254.45,253.50,248.50,575,23423,5940726.00,
500008,AMAR RAJA BA,A ,Q,777.75,800.00,769.90,785.95,785.95,769.50,552,14547,11353062.00,
500009,A.SARABHAI  ,X ,Q,10.08,10.43,9.60,9.82,10.29,10.08,46,11846,118405.00,
500010,HDFC        ,A ,Q,1770.25,1869.85,1770.25,1832.60,1832.60,1785.15,2670,1087019,1941101966.00,
500012,ANDHRA PETRO,X ,Q,51.00,53.90,49.65,52.20,52.20,51.35,359,95596,4947873.00,
500013,ANSAL INFRAS,B ,Q,20.35,20.85,19.55,19.55,19.55,20.55,182,847289,16572941.00,
500014,APPLE FINANC,XT,Q,2.67,2.68,2.67,2.67,2.67,2.81,24,17460,46620.00,
500020,BOM DYEING  ,A ,Q,241.00,245.75,233.85,237.20,237.20,239.30,3813,534228,128191903.00,
500023,ASIANHOTNR  ,T ,Q,304.85,304.85,285.10,296.05,296.05,291.15,15,750,221379.00,
500024,ASSAMCO     ,B ,Q,4.00,4.13,3.95,4.10,4.02,4.00,112,170915,686051.00,
500027,ATUL LTD.   ,A ,Q,2590.75,2658.95,2590.75,2609.90,2609.90,2595.55,115,838,2200689.00,
500028,ATV PROJECTS,XT,Q,9.75,9.75,9.47,9.47,9.47,9.96,26,8939,86139.00,
500029,AUTOLITE(I) ,B ,Q,60.20,61.70,59.00,60.95,61.00,60.60,43,4914,298507.00,
500031,BAJAJ ELECT.,A ,Q,554.95,565.70,531.40,561.80,561.80,531.20,1285,56997,31287417.00,
500032,BAJAJHIND   ,A ,Q,9.23,9.40,8.55,8.77,8.77,9.25,1863,2346581,21020629.00,
500033,FORCE MOTR  ,B ,Q,2751.15,2797.00,2725.00,2741.80,2741.80,2761.40,2937,37653,103753119.00,
500034,BAJFINANCE  ,A ,Q,1692.00,1746.90,1688.30,1740.80,1740.80,1679.85,4764,66047,113616420.00,
500038,BALRAM.CHINI,A ,Q,84.65,86.85,82.70,83.45,83.45,84.80,1844,441614,37412605.00,
500039,BANCO PROD. ,B ,Q,214.00,218.00,211.00,214.40,215.70,212.85,226,9528,2045834.00,
500040,CENTURY TEXT,A ,Q,1120.00,1149.95,1104.25,1147.95,1138.00,1125.75,1253,145276,165814905.00,
500042,BASF INDIA  ,B ,Q,1954.85,1954.85,1898.00,1926.20,1900.15,1966.70,356,2993,5775467.00,
500043,BATA INDIA  ,A ,Q,703.00,746.80,703.00,742.75,742.75,707.95,2316,96978,71167386.00,
500048,BEML LTD    ,A ,Q,1044.00,1062.90,1036.20,1056.40,1056.40,1053.80,1187,32869,34550226.00,
500049,BHARAT ELECT,A ,Q,140.00,144.30,139.00,142.75,142.75,139.80,2568,280577,39603522.00,
500052,BHANSALI ENG,B ,Q,162.40,168.60,161.00,165.30,165.30,163.30,1149,125788,20710270.00,
500055,BHUSH STEEL ,B ,Q,42.65,44.30,42.00,42.55,42.55,41.65,3518,816249,35143721.00,
500058,BIHAR SPONGE,XT,Q,1.90,1.90,1.87,1.87,1.87,1.96,8,1867,3506.00,
500059,BINANI IND. ,B ,Q,88.00,88.00,84.00,84.40,84.40,88.15,279,47791,4062528.00,
500060,BIRLACABLE  ,B ,Q,58.50,60.00,58.45,59.10,58.50,59.80,31,1818,107837.00,
500067,BLUE STAR   ,A ,Q,755.00,773.00,750.05,766.60,767.00,744.90,487,409485,314472075.00,
500068,DISA INDIA  ,X ,Q,6100.00,6100.00,5920.00,6041.65,6000.00,6200.00,23,108,653125.00,
500069,BNK CAPITAL ,X ,Q,92.10,94.00,89.40,90.95,91.00,94.00,64,103985,9420157.00,
500074,BPL LTD.    ,B ,Q,71.80,73.30,69.70,72.50,72.50,71.25,928,115547,8249229.00,
500078,OAL         ,X ,Q,860.10,887.00,860.10,870.40,870.40,866.20,29,1566,1373893.00,
500083,CENTURY EXT ,B ,Q,5.00,5.00,4.94,4.94,4.94,5.19,16,5625,27799.00,
500084,CESC LTD.   ,A ,Q,883.00,961.80,867.00,953.80,950.00,882.50,3167,89861,82712338.00,
500085,CHAMBAL FERT,A ,Q,162.90,163.50,161.00,162.60,162.60,162.90,429,70936,11514800.00,
500086,EXIDE IND.  ,A ,Q,215.70,223.90,215.65,222.55,222.55,216.00,1380,191875,42397820.00,
500087,CIPLA LTD.  ,A ,Q,539.00,543.80,533.55,540.75,540.75,537.30,1067,387195,209798700.00,
500089,DIC INDIA   ,B ,Q,465.00,474.00,449.05,452.45,452.45,461.25,136,1025,467009.00,
500092,CRISIL LTD  ,A ,Q,1910.00,1945.00,1890.00,1917.10,1910.00,1940.85,85,465,885346.00,
500093,CGPOWER     ,A ,Q,74.00,77.00,73.05,76.25,76.25,74.20,960,187291,13998686.00,
500096,DABUR (I)   ,A ,Q,318.25,321.00,314.75,315.30,315.30,318.25,1286,361196,113970346.00,
500097,DALMIASUG   ,B ,Q,70.10,71.50,66.85,67.20,67.20,71.00,371,64327,4387877.00,
500101,ARVIND Ltd  ,A ,Q,379.30,388.70,379.10,386.25,386.65,379.25,727,44488,17050438.00,
500102,BALARPUR IND,B ,Q,12.76,13.00,12.42,12.59,12.59,12.81,691,1379302,17412510.00,
500103,BHEL        ,A ,Q,81.65,84.55,80.65,82.40,82.40,81.35,1984,572384,46870970.00,
500104,HIND.PETRO  ,A ,Q,339.00,340.00,323.50,332.70,332.70,338.80,3553,263478,87004753.00,
500106,IFCI LTD    ,A ,Q,19.50,19.70,19.10,19.40,19.40,19.60,1433,1025055,19931016.00,
500108,MAHA.TELE   ,B ,Q,19.20,19.60,18.80,19.20,19.20,19.15,988,548777,10465909.00,
500109,MRPL        ,A ,Q,109.20,112.05,109.20,111.25,112.05,110.40,678,67239,7443859.00,
500110,CHENNAI PET.,A ,Q,321.50,321.50,310.80,317.40,317.40,322.85,983,64009,20104821.00,
500111,REL.CAP.    ,A ,Q,408.65,418.00,406.00,416.30,416.30,409.30,5752,516293,212987892.00,
500112,STATE BANK  ,A ,Q,235.00,247.50,234.45,246.35,246.35,234.60,14649,3101683,753652007.00,
500113,STEEL AUTH. ,A ,Q,69.20,71.80,68.35,71.45,71.45,68.85,2918,1152389,80719097.00,
500114,TITAN       ,A ,Q,899.00,948.75,897.05,938.45,938.45,894.50,5471,664948,613426817.00,
500116,IDBI BANK L ,A ,Q,70.00,72.80,68.05,72.10,72.10,71.80,12557,5472183,386320038.00,
500117,DCW LTD.    ,B ,Q,30.35,32.10,29.40,31.50,31.50,30.60,742,431443,13031391.00,
500119,DHAMPUR SUGA,B ,Q,142.00,143.35,133.10,134.90,134.90,142.00,657,108885,15024412.00,
500120,DIAMINES&CHM,X ,Q,84.00,87.95,84.00,85.10,86.00,86.85,63,8565,739447.00,
500123,ELANTAS     ,B ,Q,2086.20,2086.40,2034.10,2076.25,2084.00,2064.50,222,1507,3111398.00,
500124,DR.REDDY'S  ,A ,Q,2080.00,2109.00,2053.20,2103.45,2090.10,2073.80,2125,31583,65778244.00,
500125,E.I.D.PAR   ,A ,Q,282.00,282.00,272.70,275.15,275.15,281.85,257,16054,4465361.00,
500126,MERCK LTD   ,B ,Q,1509.65,1509.65,1475.55,1496.00,1482.00,1508.55,446,1855,2769798.00,
500128,ELEC.CASTING,B ,Q,25.00,25.70,24.60,25.30,25.30,25.05,310,163822,4110463.00,
500132,EMPEE SUGARS,XT,Q,2.85,2.85,2.62,2.62,2.62,2.75,12,3061,8025.00,
500133,ESAB INDIA  ,B ,Q,731.00,735.00,718.00,723.80,718.00,736.05,61,1465,1066856.00,
500135,ESSEL PROP  ,B ,Q,243.45,243.50,235.10,238.15,237.55,241.40,116,3543,845939.00,
500136,ESTER INDUS.,B ,Q,64.00,68.00,63.75,67.10,67.10,66.25,273,27031,1781437.00,
500139,FEDDERELEC  ,B ,Q,61.80,62.30,61.30,61.80,61.80,61.85,216,47342,2925129.00,
500141,FERRO ALLOYS,X ,Q,9.00,9.50,8.72,8.72,8.72,9.17,269,248316,2201050.00,
500144,FINOL. CABLE,A ,Q,635.00,650.00,620.60,646.60,645.30,630.85,473,20837,13200621.00,
500147,CMI FPE     ,X ,Q,840.00,860.00,832.00,842.85,842.85,865.70,55,2319,1960909.00,
500148,UFLEX LTD   ,A ,Q,334.00,335.90,318.35,332.30,330.10,324.55,687,149265,48072599.00,
500150,FOSECO INDIA,B ,Q,1465.00,1465.00,1435.00,1450.10,1457.00,1476.50,31,354,512241.00,
500151,GOLDEN TOB  ,T ,Q,56.05,61.70,56.00,56.00,56.00,58.90,12,2378,139980.00,
500153,GANESH BENZO,X ,Q,82.00,83.40,81.25,81.90,81.90,82.45,646,121470,10003895.00,
500155,GARDEN SILK ,B ,Q,31.90,33.35,31.90,32.30,32.25,32.55,49,3993,129658.00,
500159,METROGLOBL  ,X ,Q,75.00,75.00,72.50,75.00,75.00,73.00,8,572,42395.00,
500160,GTL LTD.    ,B ,Q,10.00,10.50,9.91,10.22,10.22,10.11,218,55616,565184.00,
500163,GODFREY PH  ,A ,Q,802.65,818.00,795.65,808.85,807.45,800.85,419,6144,4967360.00,
500164,GODREJ IND  ,A ,Q,533.70,541.70,528.40,538.80,541.70,529.75,655,26813,14281424.00,
500165,KANSAI NERO ,A ,Q,460.00,478.85,453.20,470.90,470.90,461.85,1032,19520,8989662.00,
500166,GOODRICKE   ,X ,Q,308.00,313.70,296.05,298.30,298.30,307.75,376,26322,7968028.00,
500168,GOODYEAR (I),B ,Q,1086.25,1129.90,1086.25,1116.80,1116.80,1118.30,468,4915,5455767.00,
500170,GTN INDUS   ,B ,Q,11.85,12.85,11.85,12.50,12.85,12.40,30,23396,291604.00,
500171,GHCL LTD    ,A ,Q,269.90,269.90,256.00,264.50,264.50,267.75,858,273649,70629416.00,
500173,GUJ.FLOURO  ,B ,Q,788.85,788.90,765.25,777.30,782.00,762.10,305,164767,125815310.00,
500179,HCL INFOSYS ,A ,Q,50.15,52.00,49.80,51.50,51.50,49.85,1547,666969,33907560.00,
500180,HDFC BANK   ,A ,Q,1841.00,1910.30,1834.60,1893.15,1893.15,1839.60,3227,111884,209020591.00,
500182,HEROMOTOCO  ,A ,Q,3415.00,3491.90,3366.50,3481.00,3481.00,3414.65,1556,16016,54846179.00,
500183,HIMACHAL FUT,A ,Q,25.20,26.35,24.65,25.95,25.95,25.35,2886,3327650,85032873.00,
500184,HSCL        ,B ,Q,146.10,153.10,146.00,151.30,151.30,147.25,1555,215232,32350608.00,
500185,HIND.CONSTN.,A ,Q,25.15,25.25,23.20,23.50,23.50,25.10,3812,3125777,74140673.00,
500186,HIND.OIL EXP,B ,Q,112.50,115.30,108.75,112.20,112.20,110.10,2360,329661,36831558.00,
500187,HSIL        ,B ,Q,440.00,440.00,372.15,378.40,381.90,376.85,201,4599,1740164.00,
500188,HINDUS.ZI   ,A ,Q,302.00,304.15,299.00,302.90,302.90,300.55,1009,93274,28197241.00,
500189,HINDUJA VENT,B ,Q,623.00,640.15,615.50,631.50,631.50,615.40,83,9528,5949331.00,
500191,HMT LTD.    ,Z ,Q,28.50,29.45,27.55,28.95,29.35,29.00,31,15683,443736.00,
500192,PRAG BOSIMI ,XT,Q,3.23,3.39,3.07,3.39,3.39,3.23,8,2574,7927.00,
500193,HOTEL LEELA.,B ,Q,16.55,17.65,16.55,17.30,17.30,17.40,168,70228,1215438.00,
500199,I.G.PETRO   ,B ,Q,645.00,650.00,620.00,631.10,629.10,640.80,327,6693,4245713.00,
500201,IND.GLYCOLS ,B ,Q,451.00,457.70,445.00,453.95,452.00,440.85,584,25154,11346108.00,
500202,IND.LEAS.DEV,XT,Q,7.86,7.86,7.86,7.86,7.86,7.49,11,999,7852.00,
500206,MARGO FIN   ,XT,Q,15.39,15.40,15.39,15.40,15.40,14.80,2,200,3079.00,
500207,INDO RAMA   ,B ,Q,29.40,30.45,28.90,29.85,29.85,29.25,68,75252,2250517.00,
500209,INFOSYS LTD ,A ,Q,1167.00,1167.00,1143.90,1154.30,1154.30,1167.45,5327,196300,226215775.00,
500210,INGERSOLL   ,B ,Q,668.70,672.20,652.70,660.90,660.90,670.85,282,12774,8399869.00,
500211,INSILCO LTD.,X ,Q,21.00,21.65,21.00,21.45,21.50,21.65,51,27512,586072.00,
500212,INTEG.FIN.SE,XT,Q,36.15,36.15,36.10,36.10,36.10,36.10,4,190,6861.00,
500213,INTER.TRAVEL,X ,Q,178.00,199.00,175.10,176.95,176.95,177.55,124,14540,2620776.00,
500214,ION EXCHANGE,XT,Q,469.90,476.80,456.00,457.55,457.10,454.15,193,8895,4122020.00,
500215,AGRO TECH FO,B ,Q,640.00,655.00,630.00,648.70,651.00,635.80,95,2137,1371800.00,
500219,JAIN IRRIG  ,A ,Q,105.80,109.90,105.05,108.85,108.85,106.60,2405,688625,73888259.00,
500220,JASCH INDUST,X ,Q,65.60,65.60,61.30,63.50,63.45,64.10,63,10486,659643.00,
500223,JCT LTD     ,X ,Q,2.81,2.90,2.60,2.84,2.84,2.86,531,763913,2065966.00,
500227,JINDAL POLYF,B ,Q,321.35,321.35,313.00,315.25,315.25,319.30,242,60070,18893872.00,
500228,JSWSL       ,A ,Q,284.50,295.00,284.50,293.65,293.65,285.90,1859,709653,206364067.00,
500231,UMANG DAIR  ,B ,Q,78.40,78.75,75.10,76.20,76.20,77.40,124,11572,891809.00,
500233,KAJARIA CER.,A ,Q,566.00,577.85,559.30,575.65,575.60,565.25,582,13466,7643851.00,
500234,KAKATIYA CEM,B ,Q,233.95,233.95,217.35,221.70,221.70,233.30,188,11642,2610758.00,
500235,KALYANI STEL,B ,Q,277.65,293.80,277.65,290.40,283.00,278.15,952,36430,10443389.00,
500238,WHIRLPOOL   ,A ,Q,1508.00,1520.00,1488.60,1514.45,1514.45,1484.85,1861,6217,9324871.00,
500239,KG DENIM    ,X ,Q,48.50,51.75,45.15,47.45,50.00,49.05,140,69582,3356485.00,
500240,KINETIC ENG.,ST,Q,69.00,70.00,66.50,68.45,68.45,68.35,32,15382,1052933.00,
500241,KIRL.BROS.  ,B ,Q,280.00,282.50,272.50,280.25,280.05,277.40,139,11036,3052228.00,
500243,KIRL INDUS  ,B ,Q,1187.00,1205.05,1187.00,1199.35,1199.70,1224.90,23,234,279968.00,
500245,KIRL.FERROUS,B ,Q,83.00,83.05,81.20,82.05,82.05,82.95,417,117055,9570003.00,
500246,ENVAIN ELECT,XT,Q,19.00,19.60,19.00,19.60,19.60,18.70,4,250,4840.00,
500247,KOTAK MAH.BK,A ,Q,1036.25,1066.25,1029.05,1039.60,1039.60,1039.00,1735,74677,77534704.00,
500249,KSB PUMPS   ,B ,Q,790.00,799.95,780.10,789.10,794.00,782.20,115,557,438323.00,
500250,L.G.BALKRISH,B ,Q,1072.10,1075.00,1049.00,1070.10,1070.00,1074.65,149,870,926800.00,
500251,TRENT LTD.  ,A ,Q,338.50,353.35,332.50,348.30,348.30,339.65,641,31074,10698133.00,
500252,LAKSHMI MACH,A ,Q,6599.00,6731.15,6500.10,6658.20,6658.20,6561.90,415,2161,14328970.00,
500253,LIC HOUS.FIN,A ,Q,515.00,545.50,515.00,544.00,544.00,518.30,5853,189977,101940810.00,
500254,UTTAMVALUE  ,B ,Q,0.19,0.20,0.19,0.19,0.19,0.19,455,1236300,235363.00,
500255,LML LTD.    ,B ,Q,6.10,6.10,5.79,5.80,5.79,6.09,142,85451,499165.00,
500257,LUPIN LTD.  ,A ,Q,737.00,743.35,727.05,739.80,739.80,735.75,2481,128191,94474542.00,
500259,LYKA LABS   ,B ,Q,45.25,46.40,45.10,45.20,45.20,45.55,113,35627,1630026.00,
500260,RAMCOCEM    ,A ,Q,733.05,748.60,733.05,740.75,745.00,734.10,542,19005,14062160.00,
500264,MAFATLAL IND,X ,Q,258.10,264.50,258.00,260.10,260.00,263.55,39,2352,611362.00,
500265,MAH.SEAMLESS,B ,Q,426.50,429.00,417.00,417.50,417.50,426.35,164,15820,6682772.00,
500266,MAH.SCOOTER ,B ,Q,2120.00,2157.85,2105.00,2142.70,2144.00,2124.45,53,989,2109907.00,
500267,MAJESTIC AUT,XT,Q,133.00,145.00,133.00,142.80,142.80,138.45,23,1592,218363.00,
500268,MANALI PETRO,B ,Q,32.40,34.25,31.85,33.50,33.50,32.40,688,449009,14662609.00,
500271,MFSL        ,A ,Q,448.00,463.90,443.25,457.65,457.65,446.85,953,49727,22384102.00,
500279,MIRC ELECT  ,B ,Q,43.20,46.25,42.35,45.95,45.95,43.05,637,228011,10098338.00,
500280,CENTURY ENKA,B ,Q,294.00,299.00,292.00,296.15,296.15,296.25,180,8543,2523069.00,
500284,LORDS CHLORO,XT,Q,50.80,52.50,50.80,51.30,51.30,53.20,8,135,6893.00,
500285,SPICEJET LTD,B ,Q,128.50,131.70,124.15,125.25,125.25,127.90,9177,1831009,230634623.00,
500288,MOREPEN LAB.,B ,Q,30.50,31.50,29.95,31.15,31.15,30.80,670,293023,9008963.00,
500290,MRF LTD.    ,A ,Q,69499.65,70300.00,68757.05,69983.00,70300.00,69189.20,406,660,45900784.00,
500292,HEIDEL CEM  ,A ,Q,146.00,146.10,141.20,145.40,145.40,144.90,309,31606,4565406.00,
500294,NCC         ,A ,Q,114.00,118.80,113.50,118.25,118.25,115.40,1053,232830,27148674.00,
500295,VEDL        ,A ,Q,275.30,287.90,269.00,283.15,283.15,276.50,9017,1414400,389334244.00,
500296,NAHAR SPG.  ,B ,Q,86.00,92.00,85.15,88.60,87.50,86.50,143,43542,3788683.00,
500298,NAT.PEROXIDE,B ,Q,2218.00,2389.00,2218.00,2373.15,2383.00,2240.05,466,19369,43704417.00,
500300,GRASIM IND. ,A ,Q,1070.00,1086.10,1049.55,1079.60,1079.60,1080.00,1742,35590,38072994.00,
500302,PEL         ,A ,Q,2402.00,2418.25,2382.90,2407.75,2407.75,2398.70,1125,17535,42165272.00,
500304,NIIT LTD.   ,A ,Q,86.00,94.00,84.10,90.05,90.05,85.70,1224,157357,13822158.00,
500306,JAYKAY      ,ST,Q,5.29,5.35,5.29,5.31,5.35,5.56,20,14497,76691.00,
500307,NIRLON      ,B ,Q,203.00,215.90,176.00,200.90,200.90,203.40,71,18704,3748182.00,
500312,ONGC CORPN  ,A ,Q,179.80,180.00,176.00,178.65,178.65,177.25,2940,479140,85186015.00,
500313,OIL COUNTRY ,B ,Q,31.70,31.85,30.75,30.85,30.85,31.70,148,28017,875280.00,
500314,ORIENT HOTEL,B ,Q,42.50,43.85,40.80,41.35,41.35,42.50,243,34781,1457530.00,
500315,ORINTAL BANK,A ,Q,90.40,92.20,88.90,91.75,91.45,89.45,1572,409496,37145020.00,
500317,OSWAL AGRO. ,T ,Q,13.40,13.50,12.55,12.98,13.00,12.89,72,44592,570465.00,
500319,INDIAN SUCRO,XT,Q,22.55,22.55,21.90,22.45,22.50,23.00,28,13971,306808.00,
500322,PANYAM CEMEN,X ,Q,40.20,40.85,39.05,39.80,39.50,39.65,74,25883,1033310.00,
500325,RELIANCE    ,A ,Q,892.85,904.50,892.00,901.05,901.05,892.85,9791,567273,509628048.00,
500327,PILITA      ,T ,Q,12.00,12.35,11.80,11.81,11.81,11.79,22,13171,155948.00,
500329,PENTAMED.G  ,X ,Q,0.54,0.62,0.52,0.54,0.55,0.60,92,145072,78371.00,
500330,RAYMOND     ,A ,Q,891.00,931.50,852.70,923.85,923.85,890.50,2621,281956,255852012.00,
500331,PIDILITE    ,A ,Q,903.00,913.10,901.65,907.50,907.50,901.60,1125,18167,16502340.00,
500333,PIX TRANS   ,X ,Q,123.60,124.00,120.20,121.85,121.85,122.10,221,30916,3778076.00,
500335,BIRLA CORPN.,B ,Q,704.10,712.25,685.00,692.25,685.00,704.05,451,33617,23297637.00,
500336,SURYA ROSHNI,B ,Q,371.70,386.40,362.55,384.50,384.50,373.85,639,46297,17123875.00,
500337,PRIME SECUR.,B ,Q,48.10,49.50,46.60,49.45,49.30,47.75,261,36544,1774252.00,
500338,PRISM CEMENT,B ,Q,108.70,114.10,107.10,113.15,113.15,108.45,963,100974,11201907.00,
500339,RAIN        ,A ,Q,370.45,377.05,370.10,372.10,372.10,373.45,2499,239874,89622250.00,
500343,AMJLAND     ,B ,Q,25.00,25.00,22.95,23.10,23.05,23.60,25,4700,111734.00,
500346,PUN.COMMUNI.,B ,Q,35.00,39.00,35.00,35.65,36.40,33.50,47,4317,156382.00,
500350,RSWM  LTD   ,B ,Q,352.00,352.00,319.20,325.60,323.00,343.15,119,3233,1079359.00,
500354,RAJSH.SUGAR ,B ,Q,31.05,31.05,28.50,29.05,28.50,31.00,99,43421,1294718.00,
500355,RALLIS INDIA,A ,Q,218.05,220.80,213.00,216.65,216.65,218.50,402,40125,8642213.00,
500356,RAMANEWS    ,B ,Q,26.45,26.45,25.15,25.70,25.70,26.15,209,46143,1199485.00,
500360,RAPICUT CARB,X ,Q,67.00,68.00,65.05,65.40,65.05,67.10,40,4906,322207.00,
500365,RMGALLOY    ,XT,Q,12.68,12.68,12.68,12.68,12.68,12.68,23,164142,2081320.00,
500366,ROLTA (I)   ,B ,Q,57.70,58.45,56.35,57.80,57.80,57.25,1005,283641,16310089.00,
500367,RUBFILA INT.,X ,Q,72.50,74.50,71.20,73.50,73.50,71.05,147,54247,3972407.00,
500368,RUCHI SOYA  ,B ,Q,17.00,17.00,16.25,16.50,16.50,16.85,303,248808,4120864.00,
500370,SALORA INT. ,B ,Q,37.05,37.05,37.05,37.05,37.05,38.95,2,4150,153757.00,
500372,SAMTEL COL  ,Z ,Q,0.40,0.40,0.40,0.40,0.40,0.42,30,163195,65278.00,
500378,JINDAL SAW  ,A ,Q,114.00,119.30,113.60,118.35,118.35,115.60,972,176313,20609149.00,
500380,JK LAKSHMI  ,A ,Q,455.55,459.50,442.25,456.35,458.50,449.80,272,7657,3470715.00,
500387,SHREE CEMENT,A ,Q,16218.30,16474.00,15975.05,16253.85,16253.85,16009.10,279,4308,69072739.00,
500388,SHREE KRISHN,XT,Q,30.00,30.00,30.00,30.00,30.00,31.00,2,130,3900.00,
500390,REL INFRA   ,A ,Q,421.65,428.05,416.90,424.40,424.40,418.30,2647,224656,94975319.00,
500394,SOLID CARBID,XT,Q,0.35,0.35,0.35,0.35,0.35,0.36,2,1000,350.00,
500399,STEELCO GUJ.,X ,Q,7.10,7.19,6.60,6.61,6.61,6.81,34,6545,44605.00,
500400,TATA POWER  ,A ,Q,80.75,81.20,78.85,79.95,80.20,79.75,1834,401740,32022073.00,
500402,SPMLINFRA   ,B ,Q,91.00,91.05,76.00,84.00,81.80,92.30,232,16532,1346293.00,
500403,SUNDARAM FAS,A ,Q,560.00,576.30,554.85,561.85,561.85,557.95,879,23784,13503481.00,
500404,SUNFLAG IRON,B ,Q,78.00,78.40,74.80,76.40,76.40,78.35,880,187949,14297724.00,
500405,SUPREME PET ,B ,Q,313.50,325.80,301.50,321.00,321.00,309.90,317,19727,6157516.00,
500407,SWARAJ ENGIN,B ,Q,1934.35,1990.00,1910.55,1963.15,1963.15,1932.45,340,1545,3005459.00,
500408,TATA ELXSI  ,A ,Q,958.00,982.50,958.00,977.95,977.95,965.80,2384,31584,30809206.00,
500410,ACC LTD     ,A ,Q,1526.10,1537.00,1521.20,1531.55,1525.55,1527.80,788,13297,20334200.00,
500411,THERMAX     ,A ,Q,1155.40,1198.90,1125.00,1152.65,1142.00,1158.05,375,1889,2157609.00,
500412,THIRUMALAI  ,B ,Q,1727.50,1734.40,1649.00,1706.85,1706.85,1706.55,780,14822,25063796.00,
500413,THOMAS COOK ,B ,Q,268.75,275.00,265.00,272.55,272.55,268.55,605,32376,8741848.00,
500414,TIMEX GROUP ,XT,Q,42.10,44.45,41.05,43.10,43.10,42.65,125,102567,4334747.00,
500418,TOKYO PLAST ,B ,Q,93.00,93.00,83.70,86.55,84.05,92.60,126,12074,1073316.00,
500420,TORRENT PHAR,A ,Q,1250.40,1261.40,1249.95,1257.25,1257.25,1250.90,252,2723,3416165.00,
500422,TRANSCHEM   ,X ,Q,29.20,29.75,29.20,29.70,29.70,30.80,5,411,12157.00,
500425,AMBUJA CEME ,A ,Q,225.35,235.00,225.35,231.05,231.05,226.95,879,76160,17457260.00,
500426,UTLINDS     ,XT,Q,7.95,8.25,7.95,7.97,8.00,8.05,29,5563,44382.00,
500429,UNIPHOS ENT.,B ,Q,82.50,84.95,82.00,84.75,84.95,81.50,40,14889,1239594.00,
500439,VARD HOLDNG ,B ,Q,3919.05,3919.05,3775.10,3790.50,3790.50,3954.55,25,94,358583.00,
500440,HINDALCO    ,A ,Q,206.00,211.50,202.70,210.90,210.90,205.90,2793,583228,121395141.00,
500444,WEST COAS PA,B ,Q,240.00,259.60,225.00,254.30,254.30,234.80,805,33489,8167362.00,
500449,HIND.ORG.CHM,B ,Q,24.95,24.95,23.05,23.25,23.25,24.25,371,152901,3599940.00,
500450,MPIL CORP L ,X ,Q,192.00,192.00,192.00,192.00,192.00,202.10,2,9,1728.00,
500456,PAS.ACRYLON ,X ,Q,23.55,24.00,23.50,23.75,23.75,24.30,297,104404,2477040.00,
500459,PROCTER &GAM,A ,Q,9210.00,9257.95,9148.00,9222.60,9225.00,9202.75,107,314,2891515.00,
500460,MUKAND LTD. ,B ,Q,62.25,62.25,58.75,60.05,60.05,62.20,284,71418,4269479.00,
500463,AGCNET      ,B ,Q,100.10,106.95,98.00,99.20,99.20,102.00,37,10774,1106392.00,
500464,UCAL FUEL   ,B ,Q,241.00,242.50,232.25,237.85,237.85,240.40,492,25310,6029172.00,
500467,HARR.MALAYAL,B ,Q,72.50,73.75,72.00,72.70,73.00,73.15,104,8108,588937.00,
500469,FEDERAL BANK,A ,Q,90.60,91.85,89.85,91.45,91.45,90.55,1757,444143,40335288.00,
500470,TATA STEEL  ,A ,Q,567.35,588.70,561.35,582.45,582.45,566.60,8270,675460,386220511.00,
500472,SKF INDIA   ,A ,Q,1680.00,1725.45,1665.30,1709.90,1718.00,1674.20,133,4125,6974142.00,
500477,ASHOK LEYL. ,A ,Q,143.70,145.75,142.35,144.15,144.15,142.05,3807,1206893,173277836.00,
500480,CUMMINS (I) ,A ,Q,735.00,738.70,696.00,736.10,736.10,732.60,476,13835,10133094.00,
500483,TATA COMM   ,A ,Q,620.00,623.45,617.55,620.10,620.10,618.10,391,20985,13016971.00,
500488,ABBOTT (I)  ,B ,Q,5399.95,5400.00,5306.15,5356.30,5370.00,5385.20,121,490,2626667.00,
500490,BAJ HOLD INV,A ,Q,2524.05,2677.90,2524.05,2631.65,2631.65,2508.05,292,1431,3696477.00,
500493,BHARAT FORGE,A ,Q,685.00,702.50,684.45,699.50,699.50,690.10,1026,31576,21934308.00,
500495,ESCORTS LTD.,A ,Q,794.10,812.00,794.10,807.55,807.55,794.75,1327,51497,41389566.00,
500500,HIND.MOTORS ,T ,Q,7.40,7.45,6.90,7.05,7.05,7.24,241,207191,1452895.00,
500510,LARSEN & TOU,A ,Q,1267.00,1302.40,1266.95,1295.15,1295.15,1267.75,5676,178683,230069462.00,
500520,MAH & MAH   ,A ,Q,735.00,759.75,727.40,747.80,747.80,733.25,2285,103667,77175531.00,
500530,BOSCH LTD   ,A ,Q,17400.00,17427.85,17190.00,17284.55,17284.55,17306.90,355,990,17126056.00,
500540,PREMIER LTD ,B ,Q,21.65,22.80,20.15,20.50,20.50,22.10,79,4577,96758.00,
500547,BHARAT PET. ,A ,Q,410.00,421.00,402.65,419.30,419.30,413.60,1897,168114,69024600.00,
